date,visitors,forecast,forecast_lower,forecast_upper
2021-10-01,91359.0,90243.306170011,6814.135817158957,169062.9189552239
2021-11-01,102366.0,42262.913451030385,-38597.459325515185,125690.83219225545
2021-12-01,123131.0,103109.00985112469,27019.557774919904,192647.4024527738
2022-01-01,199553.0,340038.80900613026,266182.1817324497,425390.70038347953
2022-02-01,173238.0,311153.8679745223,231785.952897162,395099.41424074053
2022-03-01,131226.0,204095.86423957915,123449.00650390607,281061.43025194335
2022-04-01,150321.0,212673.5245106269,134579.874120157,294453.2528194077
2022-05-01,346373.0,314064.8510854009,231801.73835641026,393072.35398534767
2022-06-01,310046.0,256564.42471239902,171576.8411850781,338270.71525366715
2022-07-01,405690.0,374281.01362136635,296233.73165025696,456765.6449650218
2022-08-01,471606.0,492970.9831328802,410222.92597337574,568387.6231444532
2022-09-01,213207.0,287014.1683985777,198894.85601767615,368018.99146465224
2022-10-01,296972.0,327031.7472085767,248534.7440513058,405357.49521687394
2022-11-01,341137.0,267585.88498992467,188136.75371167198,343509.9095599111
2022-12-01,372012.0,328567.8991234052,252845.60061489692,402642.44108035025
2023-01-01,411281.0,357431.9660467978,276312.29001619405,434509.21732527687
2023-02-01,419332.0,323746.012292185,239198.31912631926,399115.28393314447
2023-03-01,250352.0,228112.800301445,151427.09643048275,306206.6025757219
2023-04-01,211974.0,242463.47845618747,163498.68927165092,326589.7839762097
2023-05-01,306607.0,351779.51553038275,267077.10830894305,431662.6754879785
2023-06-01,334368.0,288925.82302760496,209588.89779290755,372873.92426380276
2023-07-01,477407.0,425487.07234939863,352236.5972522679,505197.63994097133
2023-08-01,533857.0,561463.9759294197,483202.31475234014,639609.7679081281
2023-09-01,397512.0,346001.7671530465,268088.60610117164,424888.6918122554
2023-10-01,347852.0,378581.175185512,298728.72258743644,459364.2196304874
2023-11-01,221919.0,307847.73519657354,228373.6364025346,385723.3863945436
2023-12-01,267824.0,369362.82057432533,291272.85408890294,450315.6766890167
2024-01-01,325127.0,399028.9137482959,325431.2073304491,485149.2167652824
2024-02-01,305525.0,360300.2282088679,274926.5551833133,444414.82283948443
2024-03-01,222265.0,300307.58489068726,226381.69947706413,378192.33829978725
2024-04-01,226589.0,304791.4664693931,222289.47693250442,385122.654112022
2024-05-01,286491.0,395510.2203424319,315334.7978873141,475868.4256031551
2024-06-01,283530.0,355432.61000673845,277265.88952320436,436259.61523818184
2024-07-01,361493.0,441388.3170692132,358101.16265177296,525395.7596522941
2024-08-01,428217.0,532565.5071443814,453548.09123971406,611959.3995522223
2024-09-01,351733.0,354766.959779311,274371.4062697028,436022.5137831727
2024-10-01,310040.0,416463.596397348,335361.79497436335,490601.88182394335
2024-11-01,265661.0,385711.61424841697,309601.0639993918,466650.2990044144
2024-12-01,422114.0,452255.66240021755,371885.8065100059,530805.8534007171
2025-01-01,513262.0,486620.84490187006,406375.49806869886,564885.0438314314
2025-02-01,543361.0,468012.06739171385,386135.2749486416,551124.0804497167
2025-03-01,341471.0,354726.51145910885,278891.827074128,430104.22421475855
2025-04-01,348114.0,363096.5730891906,281322.292387068,439943.42932040524
