Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
9248.496993987976,4339905.576505984,40137603678.50725,51257358942.55361,26020702546.442863,4.085369756712443
9346.693386773548,4323530.331448301,40410712356.46268,51271637591.90237,26034981195.79161,4.447272924226844
9444.889779559118,4307155.086390618,40680605054.42682,51285748103.60367,26049091707.492916,4.809176091741225
9543.08617234469,4290779.841332935,40947281772.39967,51299690477.65753,26063034081.546776,5.171079259255626
9641.282565130261,4274404.596275252,41210742510.38124,51313464714.06394,26076808317.95319,5.532982426770007
9739.478957915831,4258029.35121757,41470987268.37152,51327070812.822914,26090414416.712162,5.894885594284387
9837.675350701404,4241654.106159886,41728016046.37051,51340508773.93444,26103852377.823685,6.256788761798789
9935.871743486974,4225278.861102203,41981828844.378204,51353778597.39852,26117122201.287766,6.618691929313189
10034.068136272546,4208903.61604452,42232425662.39462,51366880283.21516,26130223887.1044,6.98059509682757
10132.264529058117,4192528.3709868374,42479806500.41974,51379813831.384346,26143157435.27359,7.342498264341961
10230.460921843687,4176153.1259291545,42723971358.453575,51392579241.90609,26155922845.795338,7.704401431856351
10328.65731462926,4159777.8808714715,42964920236.496124,51405176514.78039,26168520118.66964,8.066304599370742
10426.85370741483,4143402.6358137885,43202653134.54738,51417605650.00725,26180949253.896496,8.428207766885134
10525.050100200402,4127027.3907561055,43437170052.60735,51429866647.586655,26193210251.475906,8.790110934399523
10623.246492985973,4110652.1456984226,43668470990.67603,51441959507.51862,26205303111.40787,9.152014101913915
10721.442885771543,4094276.90064074,43896555948.753426,51453884229.80315,26217227833.692394,9.513917269428296
10819.639278557115,4077901.6555830566,44121424926.83953,51465640814.44022,26228984418.32947,9.875820436942698
10917.835671342686,4061526.410525374,44343077924.93435,51477229261.429855,26240572865.3191,10.237723604457077
11016.032064128258,4045151.1654676907,44561514943.03787,51488649570.77204,26251993174.66129,10.59962677197148
11114.228456913828,4028775.920410008,44776735981.150116,51499901742.46678,26263245346.35603,10.961529939485859
11212.424849699399,4012400.675352325,44988741039.27106,51510985776.51408,26274329380.403328,11.323433107000252
11310.621242484971,3996025.430294642,45197530117.40073,51521901672.91393,26285245276.80318,11.685336274514642
11408.817635270541,3979650.1852369593,45403103215.5391,51532649431.666336,26295993035.555588,12.047239442029033
11507.014028056114,3963274.9401792763,45605460333.68619,51543229052.7713,26306572656.66055,12.409142609543423
11605.210420841684,3946899.6951215933,45804601471.84198,51553640536.22882,26316984140.11807,12.771045777057813
11703.406813627254,3930524.4500639103,46000526630.006485,51563883882.038895,26327227485.92814,13.132948944572204
11801.603206412827,3914149.2050062274,46193235808.17971,51573959090.20152,26337302694.090767,13.494852112086594
11899.799599198397,3897773.9599485444,46382729006.36164,51583866160.716705,26347209764.60595,13.856755279600987
11997.99599198397,3881398.7148908614,46569006224.552284,51593605093.58444,26356948697.47369,14.218658447115379
12096.19238476954,3865023.4698331784,46752067462.75163,51603175888.80473,26366519492.69398,14.580561614629769
12194.38877755511,3848648.224775496,46931912720.9597,51612578546.37759,26375922150.26683,14.94246478214415
12292.585170340682,3832272.9797178125,47108541999.17648,51621813066.302986,26385156670.192234,15.304367949658552
12390.781563126253,3815897.73466013,47281955297.40197,51630879448.58095,26394223052.470192,15.666271117172931
12488.977955911825,3799522.4896024466,47452152615.63617,51639777693.21146,26403121297.100708,16.02817428468733
12587.174348697396,3783147.244544764,47619133953.87909,51648507800.19453,26411851404.08378,16.390077452201712
12685.370741482966,3766771.999487081,47782899312.13071,51657069769.53015,26420413373.419403,16.751980619716104
12783.567134268538,3750396.754429398,47943448690.391045,51665463601.21833,26428807205.107582,17.113883787230495
12881.763527054109,3734021.509371715,48100782088.660095,51673689295.25906,26437032899.148315,17.475786954744883
12979.95991983968,3717646.264314032,48254899506.93785,51681746851.65236,26445090455.541603,17.837690122259275
13078.156312625251,3701271.019256349,48405800945.22432,51689636270.3982,26452979874.28745,18.199593289773667
13176.352705410822,3684895.7741986667,48553486403.51951,51697357551.4966,26460701155.38585,18.561496457288047
